id,location,latitude,longitude
0,"A Coruña, Galicia, Spain",43.365,-8.41
1,"Aachen, North Rhine-Westphalia, Germany",50.7756,6.0836
2,"Aarhus, Midtjylland, Denmark",56.1572,10.2107
3,"Aberdeen, United Kingdom",57.15,-2.11
4,"Abertawe, Swansea, United Kingdom",51.6167,-3.95
5,"Abū Ḩummuş, Al Buḩayrah, Egypt",31.1006,30.3128
6,"Ad Dīwānīyah, Al Qādisīyah, Iraq",31.9892,44.9247
7,"Adana, Turkey",37.0,35.3213
8,"Adıyaman, Turkey",37.7639,38.2778
9,"Afyonkarahisar, Turkey",38.7578,30.5386
10,"Agadir, Souss-Massa, Morocco",30.4333,-9.6
11,"Ajdābiyā, Al Wāḩāt, Libya",30.7556,20.2253
12,"Aksaray, Turkey",38.3742,34.0289
13,"Al Bayḑā’, Al Jabal al Akhḑar, Libya",32.7664,21.7417
14,"Al Bājūr, Al Minūfīyah, Egypt",30.4333,31.0569
15,"Al Fallūjah, Al Anbār, Iraq",33.35,43.7833
16,"Al Khums, Al Marqab, Libya",32.6497,14.2644
17,"Al Mafraq, Jordan",32.3399,36.2052
18,"Al Manşūrah, Ad Daqahlīyah, Egypt",31.05,31.3833
19,"Al Maţarīyah, Ad Daqahlīyah, Egypt",31.1833,32.0333
20,"Al Maḩallah al Kubrá, Al Gharbīyah, Egypt",30.9686,31.1636
21,"Al Ḩillah, Bābil, Iraq",32.4775,44.4314
22,"Al ‘Ajamī, Al Iskandarīyah, Egypt",31.0959,29.7604
23,"Al ‘Āshir min Ramaḑān, Ash Sharqīyah, Egypt",30.3065,31.7415
24,"Alanya, Antalya, Turkey",36.55,32.0
25,"Aleksandrów Kujawski, Kujawsko-Pomorskie, Poland",52.8767,18.6936
26,"Aleksandrów Łódzki, Łódzkie, Poland",51.8194,19.3039
27,"Aleppo, Ḩalab, Syria",36.2,37.16
28,"Alexandria, Al Iskandarīyah, Egypt",31.1975,29.8925
29,"Algiers, Alger",36.7539,3.0589
30,"Alicante, Valencia, Spain",38.3453,-0.4831
31,"Almere, Flevoland, Netherlands",52.3667,5.2167
32,"Almería, Andalusia, Spain",36.8403,-2.4681
33,"Altındağ, Ankara, Turkey",39.9636,32.9033
34,"Amman, Al ‘Āşimah, Jordan",31.9497,35.9328
35,"Amsterdam, Noord-Holland, Netherlands",52.3728,4.8936
36,"An Najaf, Iraq",32.0,44.33
37,"Andrychów, Małopolskie, Poland",49.855,19.3414
38,"Ankara, Turkey",39.93,32.85
39,"Annaba, Algeria",36.9,7.7667
40,"Antalya, Turkey",36.8874,30.7075
41,"Antwerp, Flanders, Belgium",51.2178,4.4003
42,"Ar Ramādī, Al Anbār, Iraq",33.4258,43.2992
43,"Ar Raqqah, Syria",35.95,39.01
44,"Ar Ruşayfah, Az Zarqā’, Jordan",32.0178,36.0464
45,"Arkhangelsk, Arkhangel’skaya Oblast’, Russia",64.5333,40.5333
46,"Arnavutköy, İstanbul, Turkey",41.1856,28.7406
47,"Ash Shuhadā’, Al Minūfīyah, Egypt",30.6039,30.9021
48,"Ash Shāmīyah, Al Qādisīyah, Iraq",31.9636,44.5989
49,"Ashdod, Southern, Israel",31.8,34.65
50,"Ashmūn, Al Minūfīyah, Egypt",30.2941,31.0342
51,"Athens, Attikí, Greece",37.9842,23.7281
52,"Augsburg, Bavaria, Germany",48.3689,10.8978
53,"Augustów, Podlaskie, Poland",53.8436,22.9794
54,"Avcılar, İstanbul, Turkey",40.9792,28.7214
55,"Aves, Porto, Portugal",41.44,-8.3
56,"Awsīm, Al Jīzah, Egypt",30.1167,31.1333
57,"Aydın, Turkey",37.8481,27.8453
58,"Az Zaqāzīq, Ash Sharqīyah, Egypt",30.5667,31.5
59,"Az Zarqā’, Jordan",32.0833,36.1
60,"Babruysk, Mahilyowskaya Voblasts’, Belarus",53.15,29.2333
61,"Badalona, Catalonia, Spain",41.4489,2.2461
62,"Baghdad, Baghdād, Iraq",33.3153,44.3661
63,"Balashikha, Moskovskaya Oblast’, Russia",55.8167,37.9667
64,"Balıkesir, Turkey",39.6333,27.8833
65,"Banino, Pomorskie, Poland",54.3933,18.4083
66,"Barcelona, Catalonia, Spain",41.3828,2.1769
67,"Bari, Puglia, Italy",41.1253,16.8667
68,"Barlinek, Zachodniopomorskie, Poland",53.0,15.2
69,"Barnsley, United Kingdom",53.5547,-1.4791
70,"Barr Eliâs, Béqaa, Lebanon",33.775,35.9
71,"Bartoszyce, Warmińsko-Mazurskie, Poland",54.25,20.8
72,"Batman, Turkey",37.887,41.132
73,"Batna, Algeria",35.55,6.1667
74,"Battalgazi, Malatya, Turkey",38.4228,38.3656
75,"Bayat, Çorum, Turkey",40.5455,34.957
76,"Bazal’tove, Rivnenska Oblast, Ukraine",50.6765,26.16
77,"Bağcılar, İstanbul, Turkey",41.0344,28.8564
78,"Bağlar, Diyarbakır, Turkey",37.9167,40.1833
79,"Ba‘qūbah, Diyālá, Iraq",33.75,44.6333
80,"Beersheba, Southern, Israel",31.2589,34.7997
81,"Beirut, Beyrouth, Lebanon",33.8983,35.5057
82,"Belfast, United Kingdom",54.5964,-5.93
83,"Belgorod, Russia",50.6,36.6
84,"Belgrade, Beograd, Serbia",44.82,20.46
85,"Benghazi, Banghāzī, Libya",32.1167,20.0667
86,"Bergen, Vestland, Norway",60.3894,5.33
87,"Berlin, Germany",52.52,13.405
88,"Beykoz, İstanbul, Turkey",41.1342,29.0922
89,"Beylikdüzü, İstanbul, Turkey",41.0011,28.6419
90,"Bełchatów, Łódzkie, Poland",51.3667,19.3667
91,"Biała Podlaska, Lubelskie, Poland",52.0333,23.1167
92,"Białogard, Zachodniopomorskie, Poland",54.0,15.9833
93,"Biały Kamień, Dolnośląskie, Poland",50.7814,16.2539
94,"Białystok, Podlaskie, Poland",53.1353,23.1456
95,"Bielawa, Dolnośląskie, Poland",50.7,16.6167
96,"Bielefeld, North Rhine-Westphalia, Germany",52.0211,8.5347
97,"Bielsk Podlaski, Podlaskie, Poland",52.7667,23.2
